DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2007,118.42,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2008,147.97,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2009,117.79,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2010,105.81,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2011,99.98,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2012,98.07,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2013,95.92,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2014,97.29,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2015,100.00,b
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2016,107.02,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2017,116.30,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2018,123.96,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2019,131.42,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2020,137.41,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2021,149.33,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,BG,2022,169.92,bp
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2002,81.74,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2003,82.76,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2004,91.34,e
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2005,97.06,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2006,108.57,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2007,121.32,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2008,128.17,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2009,119.76,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2010,112.90,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,CY,2011,111.09,
